epoch,accuracy,loss,val_accuracy,val_loss
0,0.4713534414768219,1.203201174736023,0.5129683017730713,1.1410208940505981
1,0.6526432037353516,0.853972852230072,0.5619596838951111,1.151926040649414
2,0.742872953414917,0.6693124771118164,0.5619596838951111,1.1495789289474487
3,0.7868807315826416,0.5488529801368713,0.5706051588058472,1.3121448755264282
4,0.8380846977233887,0.4288119971752167,0.530259370803833,1.362435221672058
5,0.871574878692627,0.3564888536930084,0.5561959743499756,1.5406824350357056
6,0.8937171101570129,0.29829272627830505,0.5504322648048401,1.7183672189712524
7,0.9078328013420105,0.26220014691352844,0.5619596838951111,1.5957478284835815
8,0.9341267347335815,0.18911193311214447,0.5821325778961182,1.6621088981628418
9,0.9482424855232239,0.15359212458133698,0.5446686148643494,1.8968963623046875
10,0.9380016326904297,0.16805793344974518,0.5417867302894592,2.039241313934326
11,0.9407694339752197,0.16455790400505066,0.5475504398345947,1.9789975881576538
12,0.9526709318161011,0.13906562328338623,0.530259370803833,2.4819324016571045
13,0.9515637755393982,0.13413390517234802,0.559077799320221,2.070638418197632
14,0.9723221659660339,0.09235990792512894,0.5648415088653564,2.104933977127075
15,0.9706615209579468,0.0887804850935936,0.5878962278366089,2.2424380779266357
16,0.9706615209579468,0.08932013809680939,0.5648415088653564,2.297551393508911
17,0.9667866230010986,0.09347257763147354,0.5389049053192139,2.7128920555114746
18,0.9615278244018555,0.11170201748609543,0.5677233338356018,2.432293653488159
19,0.9667866230010986,0.09528082609176636,0.5619596838951111,2.78171706199646
20,0.9615278244018555,0.11107467859983444,0.5561959743499756,2.4957611560821533
21,0.9662330746650696,0.10694282501935959,0.5648415088653564,2.341059446334839
22,0.972875714302063,0.07432559132575989,0.5734870433807373,2.4298956394195557
23,0.9748131632804871,0.06976542621850967,0.590778112411499,2.427813768386841
24,0.976473867893219,0.06920688599348068,0.5504322648048401,2.612553119659424
